,PSH,PSD,PSA,vencedorft
104,2.5,3.45,3.04,H
105,2.33,3.35,3.42,D
106,3.27,3.47,2.35,A
107,1.43,4.89,8.49,H
108,2.67,3.2,3,H
109,2.46,3.11,3.44,D
110,3.35,3.23,2.43,D
111,1.25,6.6,14,H
112,1.2,7.85,17.11,H
113,2.08,3.32,4.2,H
114,1.98,3.75,4.02,H
115,2.19,3.51,3.58,D
116,4.86,3.98,1.78,H
117,2.01,3.52,4.19,D
118,1.63,4.17,5.9,H
119,2.63,3.1,3.15,A
120,7.5,4.96,1.45,A
121,9.45,5.31,1.38,A
122,6.48,4.28,1.58,A
123,2.31,3.24,3.6,A
124,2.27,3.44,3.44,A
125,1.73,3.81,5.55,H
126,1.28,6.14,13.53,H
127,3.64,3.47,2.19,A
128,1.89,3.68,4.54,H
129,1.98,3.3,4.7,A
130,2.4,3.27,3.36,A
131,2.55,3.32,3.06,H
132,3.24,3.26,2.47,A
133,1.67,4.15,5.56,A
134,1.32,5.9,10.9,H
135,1.94,3.45,4.63,H
136,1.28,6.12,13,H
137,1.57,4.37,6.47,H
138,3.23,3.55,2.34,H
139,1.35,5.46,10.61,D
140,5.95,3.89,1.68,A
141,2.05,3.54,4,H
142,4.37,3.96,1.85,H
143,1.56,4.16,6.69,H
144,3.06,3.38,2.52,H
145,8.44,4.92,1.43,A
146,1.85,3.6,4.94,H
147,5.73,3.88,1.7,H
148,6.98,3.95,1.6,A
149,2.67,3.19,3.01,H
150,2.17,3.52,3.6,A
151,5.25,4.06,1.71,H
152,7.19,4.45,1.5,A
153,2.88,3.33,2.69,D
154,6.46,4.12,1.6,A
155,1.83,3.97,4.46,H
156,1.25,6.2,16.45,H
157,1.65,3.96,6.08,D
158,1.28,6.24,12.78,H
159,6.29,4.31,1.59,A
160,1.65,3.99,6.19,H
161,1.88,3.72,4.57,D
162,4.29,3.61,1.96,D
163,6.28,4.57,1.56,A
164,7.48,4.57,1.5,A
165,2.07,3.8,3.65,A
166,5.8,4.12,1.65,H
167,2.63,3.33,2.95,D
168,1.16,8.38,17.97,H
169,2.1,3.49,3.84,H
170,1.48,4.81,7.4,H
171,1.43,4.96,8.34,A
172,1.63,4.27,5.78,A
173,11.39,5.93,1.29,D
174,2.38,3.21,3.48,H
175,1.32,6.27,9.97,H
176,1.18,7.74,18.36,H
177,2.13,3.17,4.24,H
178,1.23,6.4,14.96,H
179,1.66,3.87,6.18,A
180,4.99,4.07,1.74,A
181,1.78,3.85,5.1,D
182,2.67,3.14,3.06,A
183,2.28,3.41,3.48,A
184,1.35,5.3,10.93,H
185,2.28,3.35,3.54,H
186,2.8,3.25,2.81,D
187,1.45,4.85,7.5,H
188,1.88,3.79,4.43,H
189,1.58,4.26,6.52,D
190,6.13,4.21,1.61,A
191,2,3.59,4.13,D
192,2.02,3.48,4.2,H
193,2.16,3.33,3.89,H
194,1.74,3.93,5.26,D
195,1.77,3.5,5.79,D
196,1.94,3.66,4.3,H
197,1.55,4.65,6.28,H
198,5.77,4.17,1.65,D
199,2.37,3.21,3.49,D
200,2.04,3.47,4.13,H
201,6.35,4.54,1.55,A
202,3.77,3.67,2.03,A
203,2.5,3.46,3,A
204,2.34,3.35,3.4,D
205,3.33,3.31,2.4,H
206,1.3,6.22,11.03,H
207,8.25,5.1,1.42,A
208,2.78,3.59,2.62,D
209,2.46,3.25,3.26,H
210,2.13,3.71,3.55,D
211,1.76,3.98,4.95,H
212,2.45,3.34,3.18,A
213,1.47,4.35,8.4,H
214,2.47,3.24,3.26,D
215,2.05,3.53,4.02,H
216,6.94,4.85,1.49,A
217,2.01,3.57,4.14,A
218,2.8,3.51,2.64,D
219,2.48,3.36,3.13,D
220,1.26,6.35,14.35,H
221,1.62,3.92,6.65,H
222,5.26,3.84,1.75,D
223,5.56,4.08,1.68,A
224,2.23,3.38,3.62,H
225,1.39,5.29,8.57,H
226,1.23,6.79,13.8,H
227,1.29,5.7,15,H
228,2.88,3.3,2.7,A
229,1.93,3.47,4.69,A
230,1.51,4.63,6.91,H
231,2.29,3.43,3.45,H
232,5.36,4.44,1.65,D
233,2.14,3.59,3.64,A
234,2.12,3.57,3.73,A
235,2.15,3.22,4.1,D
236,19.41,8.84,1.15,A
237,5.51,3.91,1.71,A
238,1.71,3.99,5.35,H
239,2.5,3.38,3.1,A
240,1.45,4.71,8.42,D
241,2.07,3.42,4.1,H
242,1.69,3.74,6.16,H
243,3.37,3.58,2.25,A
244,2.38,3.26,3.41,H
245,1.98,3.51,4.34,H
246,2.8,3.16,2.88,H
247,1.23,6.9,16.7,H
248,2.82,3.2,2.84,A
249,1.88,3.49,4.98,H
250,2.96,3.44,2.55,D
251,3.46,3.42,2.28,D
252,1.48,4.61,7.92,H
253,8.01,4.5,1.48,A
254,5.17,3.87,1.76,A
255,1.35,5.42,10.72,H
256,2.17,3.28,3.92,D
257,2.4,3.71,2.95,H
258,6.49,4.68,1.53,A
259,2.17,3.18,4.08,A
260,1.21,7.65,15.44,H
261,1.95,3.55,4.4,H
262,2.38,3.31,3.35,A
263,5.49,4.37,1.64,H
264,4.07,3.89,1.93,A
265,1.25,6.6,14,H
266,4.9,3.92,1.78,A
267,5.75,4.3,1.63,A
268,1.45,4.86,8.07,H
269,2.16,3.48,3.7,H
270,2.32,3.21,3.6,A
271,21.06,7.97,1.18,A
272,10.05,6.03,1.32,A
273,3.58,3.43,2.21,H
274,2.56,3.16,3.19,H
275,2.74,3.4,2.77,A
276,1.22,6.67,15.97,H
277,2.14,3.55,3.68,H
278,1.45,4.59,9,D
279,2.22,3.24,3.83,H
280,2.06,3.62,3.87,A
281,1.18,8.01,20.06,H
282,2.21,3.44,3.61,A
283,2.41,3.28,3.32,A
284,1.3,6.24,10.68,H
285,5.47,3.96,1.71,A
286,2.45,3.51,3.06,H
287,1.85,3.43,5.22,H
288,1.96,3.54,4.38,D
289,2.47,3.46,3.06,H
290,2.57,3.41,2.96,H
291,1.98,3.58,4.24,H
292,2.3,3.3,3.55,H
293,1.27,6.2,14.35,D
294,2.44,3.33,3.21,A
295,12.41,6.83,1.26,A
296,4.79,3.81,1.82,A
297,2.22,3.37,3.64,H
298,4.12,3.7,1.97,D
299,3.69,3.75,2.07,A
300,10.3,5.47,1.35,A
301,5.22,3.86,1.75,A
302,1.92,3.66,4.43,H
303,2.66,3.29,2.94,D
304,2.21,3.57,3.41,A
305,7.31,4.45,1.52,A
306,3.09,3.45,2.46,A
307,5.39,4.06,1.7,D
308,1.58,4.09,6.7,H
309,1.81,3.84,4.8,H
310,7.05,4.35,1.54,A
311,1.37,5.21,10.28,A
312,1.28,6.4,12.25,H
313,4.06,3.49,2.05,A
314,2.61,3.13,3.15,D
315,3.79,3.57,2.1,H
316,1.58,4.31,6.4,A
317,2.18,3.48,3.59,A
318,2.13,3.45,3.79,D
319,1.79,3.75,5.09,D
320,1.88,3.68,4.64,D
321,6.27,4.1,1.62,A
322,1.19,8.68,16.06,H
323,1.92,3.86,4.1,D
324,6.85,4.04,1.59,A
325,3.58,3.39,2.24,H
326,2.37,3.23,3.46,H
327,5.08,4.1,1.72,A
328,2.17,3.39,3.8,D
329,1.68,3.89,6,H
330,1.98,3.63,4.16,A
331,2.48,3.25,3.23,H
332,1.78,3.61,5.5,A
333,2.59,3.1,3.24,H
334,3.27,3.19,2.5,H
335,1.4,5.08,8.95,H
336,2.32,3.29,3.49,A
337,1.76,3.9,5.1,D
338,1.19,8,17.75,H
339,1.43,4.8,9,H
340,1.88,3.7,4.55,A
341,1.67,3.96,5.95,A
342,2.56,3.56,2.85,D
343,1.64,3.94,6.35,D
344,1.83,3.5,5.24,H
345,11.07,5.54,1.34,A
346,4.44,3.78,1.88,A
347,1.22,7.05,17.85,A
348,4.63,4.22,1.76,H
349,2.1,3.45,3.95,A
350,3.01,3.3,2.6,A
351,1.97,3.54,4.32,A
352,5.88,4.48,1.58,A
353,4.76,4.24,1.74,A
354,2.49,3.34,3.14,H
355,2.9,3.35,2.66,D
356,1.49,4.73,7.19,H
357,1.69,4.04,5.53,H
358,2.02,3.49,4.18,A
359,3.85,3.38,2.14,A
360,1.97,3.39,4.53,H
361,2.98,3.14,2.74,H
362,2.37,3.52,3.18,H
363,2.04,3.47,4.16,D
364,2.07,3.54,3.92,A
365,1.51,4.16,8.2,A
366,1.27,6.51,12.91,H
367,2.73,3.43,2.77,D
368,1.99,3.47,4.36,A
369,1.29,6.19,11.8,H
370,2.73,3.22,2.91,A
371,1.58,4.23,6.56,H
372,1.11,10.98,23.72,H
373,2.84,3.13,2.87,H
374,1.68,4.07,5.52,H
375,10.17,5.13,1.38,A
376,2.42,3.15,3.45,D
377,1.51,4.39,7.73,H
378,2.41,3.41,3.2,H
379,2.13,3.54,3.72,D
380,1.83,3.61,5.05,H
381,2.67,3.64,2.69,A
382,2.87,3.15,2.84,H
383,6.61,4.4,1.53,A
384,2.03,3.58,4.02,D
385,1.46,4.77,8,H
386,1.25,6.7,14,D
387,2.3,3.48,3.38,H
388,2.7,3.61,2.68,A
389,1.44,4.72,8.66,H
390,2.6,3.41,2.93,A
391,1.62,4.29,5.92,H
392,2.13,3.56,3.7,H
393,3.32,3.56,2.28,D
394,2.41,3.35,3.24,H
395,2.37,3.3,3.4,D
396,1.5,4.63,7.3,D
397,2.98,3.08,2.78,D
398,2.33,3.72,3.09,H
399,6.08,4.08,1.64,D
400,5.44,3.74,1.76,A
401,2.13,3.43,3.85,D
402,4.04,3.7,1.99,H
403,1.79,3.75,5.09,D
404,2.42,3.31,3.28,H
405,2.06,3.63,3.88,D
406,3.75,3.44,2.16,D
407,4.24,3.42,2.03,H
408,2.09,3.32,4.16,H
409,1.57,4.6,6,H
410,1.22,7.08,16.27,H
411,5.09,4.17,1.71,D
412,2.26,3.28,3.67,D
413,1.27,6.28,13.26,H
414,1.47,4.78,7.82,H
415,2.65,3.15,3.07,A
416,1.14,10.21,22.56,H
417,3.63,3.4,2.22,A
418,1.19,7.42,20.97,H
419,2.28,3.47,3.4,H
420,2.36,3.23,3.48,H
421,1.31,6.11,10.98,H
422,1.95,3.63,4.3,A
423,5.62,4.34,1.63,D
424,2.76,3.36,2.78,D
425,1.47,4.55,8.45,H
426,2.06,3.41,4.14,A
427,2.49,3.5,3.01,D
428,3.62,3.64,2.14,A
429,4.06,3.9,1.92,H
430,1.25,6.33,13.71,D
431,2.13,3.46,3.77,D
432,1.63,3.99,6.37,H
433,5.05,3.93,1.76,A
434,2.38,3.58,3.12,H
435,1.18,8.55,17.5,H
436,2.64,3.32,2.95,A
437,3.11,3.19,2.6,A
438,8.59,4.73,1.44,D
439,2.16,3.72,3.46,H
440,4.61,4.16,1.78,A
441,2.66,3.44,2.83,A
442,1.7,3.83,5.81,H
443,5.66,3.83,1.72,A
444,2.54,3.53,2.92,D
445,5.95,4.36,1.61,A
446,1.74,3.85,5.43,H
447,1.7,4.13,5.22,H
448,2.86,3.55,2.58,D
449,1.61,4.26,6.14,A
450,1.76,3.86,5.06,H
451,3.53,3.84,2.1,A
452,3.15,3.39,2.45,H
453,4.06,3.71,1.98,A
454,2.08,3.58,3.85,A
455,2.26,3.63,3.31,A
456,1.51,4.37,7.46,H
457,2.06,3.62,3.87,D
458,2.12,3.68,3.62,D
459,1.68,3.99,5.73,A
460,1.7,4.18,5.21,D
461,4.54,4,1.8,A
462,1.72,3.76,5.7,H
463,4.35,3.5,1.98,A
464,1.43,4.78,8.61,H
465,2.18,3.56,3.57,A
466,9.92,5.04,1.36,A
467,9.54,5,1.4,A
468,1.32,5.82,10.48,H
469,1.74,3.86,5.39,H
470,2.71,3.43,2.78,A
471,3.75,3.35,2.2,H
472,1.24,6.92,14.64,A
473,2.71,3.29,2.88,H
474,11.74,7.23,1.23,A
475,3.92,3.77,2,D
476,4.32,3.43,2.01,D
477,1.72,3.92,5.43,H
478,1.89,3.77,4.42,D
479,5.05,3.8,1.79,D
480,2.05,3.43,4.16,A
481,14.96,7.07,1.21,A
482,5.66,3.83,1.72,A
483,1.78,3.77,5.06,A
484,7.68,4.59,1.49,H
485,1.18,7.92,15.58,H
486,1.28,6.15,12.8,H
487,6.54,4.04,1.61,A
488,1.92,3.7,4.37,H
489,2.47,3.08,3.37,A
490,1.99,3.48,4.34,H
491,1.78,3.59,5.55,A
492,1.17,8.19,23.45,H
493,2.07,3.44,4.06,A
494,2.15,3.59,3.58,A
495,2.77,3.35,2.77,H
496,3.65,3.5,2.17,D
497,11.49,5.36,1.33,A
498,1.36,5.45,10,H
499,5.89,4.47,1.6,A
500,3.85,3.37,2.16,A
501,2.48,3.47,3.04,D
502,9.66,5.31,1.36,H
503,2.25,3.41,3.54,D
504,1.74,3.65,5.82,H
505,4.66,4.1,1.78,A
506,3.06,3.32,2.55,D
507,3.06,3.39,2.51,A
508,1.76,3.72,5.39,D
509,1.24,6.67,15.84,D
510,6.65,4.54,1.54,A
511,1.8,3.77,5,A
512,1.34,5.41,11,H
513,1.8,3.63,5.02,A
514,3.15,3.8,2.25,A
515,2.39,3.26,3.36,H
516,15.63,8.17,1.18,A
517,1.64,4.06,5.77,D
518,1.49,4.45,7.95,D
519,2.52,3.17,3.25,D
520,2.6,3.14,3.13,A
521,1.29,6.29,11.73,D
522,2.63,3.58,2.77,D
523,2.11,3.15,4.36,H
524,3.3,3.22,2.46,H
525,5.94,4.52,1.58,A
526,2.01,3.44,4.31,H
527,2.22,3.41,3.61,H
528,1.9,3.49,4.84,H
529,4.58,4.06,1.8,A
530,1.23,7.16,14.22,D
531,2.22,3.62,3.4,H
532,1.74,3.95,5.23,H
533,1.61,4.03,6.63,D
534,2.59,3.43,2.91,D
535,1.9,3.6,4.62,A
536,2.87,3.5,2.6,H
537,1.86,3.74,4.62,H
538,13,5.9,1.29,D
539,1.75,3.91,5.16,H
540,3.19,3.45,2.4,A
541,1.91,3.45,4.84,A
542,1.61,4.54,5.6,H
543,1.5,4.91,6.63,A
544,1.78,3.64,5.48,H
545,1.68,3.82,6.17,H
546,2.53,3.34,3.09,D
547,1.33,5.42,11.37,A
548,1.32,5.85,10.95,H
549,1.41,5.1,8.78,H
550,1.86,3.94,4.15,H
551,1.3,6.14,11.24,A
552,1.36,5.45,9.64,H
553,2.34,3.71,3.08,H
554,1.77,3.48,5.99,D
555,5.1,3.74,1.79,H
556,1.22,6.93,14.33,H
557,2.89,3.43,2.62,H
558,1.56,4.36,6.51,H
559,6.56,4.35,1.57,D
560,7.49,4.5,1.51,A
561,1.77,3.93,4.99,D
562,3.48,3.82,2.12,H
563,2.06,3.44,4.1,H
564,2.91,3.3,2.68,H
565,1.97,3.72,4.09,D
566,2.41,3.53,3.1,A
567,1.76,3.74,5.42,H
568,3.29,3.42,2.36,H
569,1.29,5.73,11.91,D
570,5.37,3.56,1.81,H
571,2.49,3.29,3.18,A
572,2.67,3.23,2.97,H
573,1.17,8.54,21.13,H
574,5.62,4.2,1.65,A
575,4.25,3.71,1.94,D
576,2.92,3.56,2.52,D
577,2.63,3.45,2.84,D
578,1.68,4.16,5.48,H
579,3.29,3.25,2.45,D
580,9.74,5.98,1.31,A
581,3.84,3.71,2.04,A
582,1.38,5.52,8.77,H
583,2,3.8,3.89,H
584,2.07,3.69,3.76,A
585,5.39,4.17,1.68,D
586,3.75,3.6,2.1,A
587,2.04,3.69,3.86,A
588,2.58,3.49,2.89,D
589,5.59,4.29,1.65,A
590,1.66,4.09,5.76,H
591,5.53,3.77,1.74,A
592,1.85,3.75,4.7,H
593,1.4,5.1,9.05,H
594,2.85,3.21,2.78,H
595,2.31,3.35,3.46,H
596,3.16,3.22,2.54,D
597,1.83,3.64,5.05,H
598,2.07,3.54,3.93,H
599,2.28,3.33,3.55,H
600,1.23,7.55,13.6,H
601,1.52,4.44,7.28,D
602,1.75,4.01,4.86,H
603,1.3,6.2,11.44,H
604,1.12,12.2,23,H
605,2.24,3.45,3.47,D
606,1.83,3.58,5.11,A
607,1.88,3.48,4.95,D
608,2.95,3.53,2.51,D
609,1.7,3.97,5.54,H
610,1.11,12.57,23.05,H
611,2.83,3.49,2.63,A
612,1.37,5.05,10.55,D
613,2.64,3.22,3.02,H
614,1.55,4.43,6.78,H
615,2.22,3.21,3.9,A
616,1.26,6.25,12.7,D
617,2.5,3.48,3.01,D
618,2.3,3.44,3.4,D
619,1.29,6.28,11.6,D
620,1.41,5.05,8.47,H
621,1.25,6.7,14,H
622,12.96,6.73,1.26,D
623,3.79,3.45,2.14,D
624,1.53,4.28,7.48,H
625,3.92,3.55,2.07,A
626,2.06,3.66,3.82,A
627,1.92,3.39,4.93,H
628,3.27,3.68,2.26,D
629,2.44,3.21,3.36,D
630,9.13,5.41,1.38,D
631,4,3.75,1.99,H
632,2.03,3.71,3.88,A
633,1.86,3.51,4.99,D
634,2.51,3.27,3.17,D
635,1.85,3.63,4.89,H
636,2.14,3.52,3.71,A
637,2.11,3.49,3.85,D
638,2.83,3.27,2.77,D
639,2.57,3.3,3.05,H
640,1.98,3.68,4.1,D
641,1.1,12.59,24.79,H
642,3.25,3.43,2.37,D
643,2.61,3.19,3.11,H
644,4.85,3.82,1.81,H
645,2.05,3.56,3.9,H
646,1.18,8.5,18,H
647,3.87,3.9,1.98,H
648,6.61,4.2,1.58,A
649,1.82,3.47,5.49,H
650,1.84,3.49,5.23,H
651,2.13,3.5,3.79,H
652,3.83,3.57,2.08,A
653,2.14,3.51,3.73,H
654,2.23,3.35,3.66,D
655,7.56,4.82,1.46,H
656,2.04,3.85,3.7,H
657,1.71,4.11,5.17,A
658,6.68,4.29,1.57,H
659,2.17,3.44,3.74,H
660,5.53,4.29,1.65,A
661,1.65,4.08,6.01,H
662,1.97,3.47,4.4,H
663,3.25,3.23,2.48,A
664,5.19,4.09,1.71,D
665,2.73,3.05,3.08,A
666,2.1,3.38,4.03,A
667,1.48,4.55,7.95,H
668,1.11,10.9,24.65,H
669,2.32,3.16,3.67,D
670,3.09,3.65,2.37,H
671,10.84,4.89,1.37,A
672,5.55,4.26,1.64,H
673,1.22,7.6,14.85,H
674,1.37,5.12,9.98,A
675,5.49,3.69,1.74,A
676,2.26,3.23,3.71,D
677,3.2,3.37,2.43,A
678,1.61,4.06,6.5,A
679,2.45,3.55,3.04,H
680,1.26,6.55,13.5,H
681,1.46,4.79,7.95,H
682,3.03,3.71,2.37,A
683,2.85,3.55,2.58,A
684,1.46,4.49,8.87,H
685,1.42,5.29,7.75,H
686,2.13,3.43,3.86,A
687,1.65,4.13,5.82,H
688,4.12,3.64,1.99,H
689,1.27,6.28,13.55,D
690,4.54,3.9,1.84,H
691,1.37,5.18,10.01,H
692,2.62,3.26,3.03,H
693,11.09,5.9,1.29,A
694,1.76,3.71,5.48,D
695,2.31,3.35,3.46,A
696,1.52,4.46,7.15,H
697,2.28,3.25,3.65,D
698,2.04,3.41,4.23,H
699,2.65,3.27,2.95,D
700,1.94,3.58,4.42,H
701,3.91,3.74,2.01,H
702,3.01,3.16,2.7,A
703,11.68,6.34,1.27,A
704,2.16,3.34,3.88,D
705,1.27,6.08,12.2,D
706,4.85,4.08,1.76,A
707,1.95,3.87,4,H
708,2.51,3.31,3.13,H
709,5.36,4.02,1.71,H
710,21.51,8.28,1.15,A
711,1.88,3.67,4.66,H
712,2.19,3.41,3.7,H
713,1.22,7.6,14.1,H
714,2.12,3.36,3.98,D
715,2.84,3.63,2.54,A
716,1.32,6.24,9.06,H
717,1.5,4.93,6.59,H
718,1.67,4.13,5.57,D
719,1.88,3.85,4.37,A
720,4.99,3.93,1.76,A
721,2.3,3.52,3.33,H
722,1.56,4.45,6.44,H
723,7.12,4.2,1.56,H
724,2.34,3.37,3.37,A
725,1.3,6,11.65,H
726,5.71,3.94,1.69,A
727,4.7,3.62,1.88,A
728,1.61,4.16,6.38,H
729,1.62,3.91,6.72,H
730,1.19,8.05,18.5,H
731,2.72,3.54,2.7,A
732,2.14,3.37,3.91,D
733,1.19,7.47,16.79,H
734,10.75,5.65,1.33,A
735,4.39,3.85,1.88,H
736,1.14,9.39,21.47,A
737,1.43,4.86,8.78,H
738,3.71,3.52,2.14,A
739,1.36,5.29,9.84,H
740,2.16,3.08,4.31,H
741,1.24,6.9,13.8,H
742,2.68,3.44,2.8,A
743,3.31,3.48,2.33,H
744,1.85,3.56,5.04,H
745,1.77,3.74,5.33,H
746,2.36,3.27,3.43,D
747,1.81,4.02,4.57,D
748,3.21,3.26,2.49,D
749,2.42,3.32,3.27,D
750,2.67,3.2,3,H
751,4.03,3.82,1.96,H
752,3.48,3.46,2.25,A
753,2.05,3.75,3.78,D
754,1.28,6.29,12.44,H
755,1.81,3.59,5.3,D
756,2.1,3.37,4.04,D
757,2.85,3.4,2.67,D
758,2.36,3.48,3.23,H
759,1.31,6.1,10.47,H
760,3.54,3.38,2.26,A
761,2.5,3.06,3.42,A
762,2.48,3.07,3.43,H
763,2.89,3.25,2.74,D
764,1.76,3.68,5.47,A
765,6.05,3.87,1.68,H
766,2.67,3.07,3.13,A
767,1.72,3.82,5.63,H
768,4,3.97,1.93,A
769,2.04,3.41,4.24,A
770,2.57,3.15,3.19,H
771,1.64,4.15,5.72,D
772,2.08,3.57,3.85,H
773,3.43,3.37,2.32,D
774,2.55,3.57,2.83,A
775,3.21,3.5,2.35,D
776,10.54,5.51,1.34,A
777,1.87,3.58,4.85,D
778,3.91,3.68,2.03,A
779,1.91,3.59,4.6,D
780,3.8,3.35,2.18,D
781,1.68,4.27,5.23,H
782,2.8,3.16,2.88,D
783,3.23,3.4,2.4,A
784,1.22,7.35,15.7,H
785,1.1,13.62,28.49,H
786,1.5,4.58,7.4,H
787,3.02,3.6,2.37,A
788,2.77,3.32,2.79,D
789,3.26,3.45,2.36,D
790,2.1,3.46,3.92,D
791,2.95,3.47,2.54,H
792,1.94,3.72,4.22,H
793,2.09,3.64,3.75,A
794,2.1,3.41,3.98,D
795,2.35,3.53,3.21,H
796,4.34,3.78,1.89,H
797,2.74,3.04,3.08,H
798,3.21,3.23,2.5,H
799,3.09,3.22,2.59,A
800,1.86,3.48,5.1,H
801,1.36,5.28,10.21,A
802,3.11,3.31,2.52,A
803,2.58,3.44,2.91,A
