,PSH,PSD,PSA,vencedorft
1003,2.13,3.52,3.75,D
1004,1.57,4.58,6.05,D
1005,8.23,4.64,1.46,A
1006,2.52,3.35,3.08,A
1007,3.25,3.43,2.36,A
1008,3.53,3.27,2.31,A
1009,1.64,4.17,5.88,H
1010,1.61,4.28,6.11,H
1011,1.16,8.26,19.61,H
1012,2.75,3.3,2.83,D
1013,1.29,5.95,13.45,H
1014,1.89,3.56,4.71,H
1015,1.76,3.74,5.37,H
1016,2.26,3.43,3.49,A
1017,3.01,3.67,2.41,H
1018,2.21,3.23,3.89,D
1019,2.28,3.49,3.4,A
1020,1.23,7.14,14.61,H
1021,2.51,3.3,3.14,A
1022,3.57,3.41,2.24,H
1023,1.43,4.47,9.35,H
1024,1.33,5.95,9.56,H
1025,1.27,6.67,12.45,H
1026,3.06,3.34,2.54,D
1027,3.46,3.39,2.29,H
1028,7.52,5.27,1.41,D
1029,2.74,3.32,2.82,D
1030,2.41,3.56,3.08,H
1031,9.06,5.89,1.35,A
1032,4.25,4.1,1.85,D
1033,2.36,3.23,3.49,A
1034,1.12,13,19.5,H
1035,14.57,7.67,1.2,H
1036,2.28,3.2,3.71,D
1037,4.3,3.52,1.99,D
1038,11.96,5.8,1.31,H
1039,1.28,6.15,12.85,H
1040,7.27,4.41,1.52,A
1041,2.35,3.47,3.26,D
1042,6.35,4.26,1.59,A
1043,1.54,4.65,6.48,H
1044,2.67,3.32,2.9,H
1045,2.79,3.34,2.76,H
1046,2.05,3.4,4.19,D
1047,2.44,3.27,3.28,H
1048,5.14,4.11,1.72,A
1049,1.52,4.33,7.65,A
1050,10.23,5.55,1.34,A
1051,2.1,3.56,3.81,H
1052,1.76,3.88,5.1,D
1053,3.03,3.59,2.44,A
1054,1.57,4.42,6.32,H
1055,3.11,3.17,2.6,H
1056,6.72,4.39,1.55,A
1057,2.61,3.2,3.1,A
1058,5.31,4.08,1.7,A
1059,6.07,3.91,1.67,A
1060,2.2,3.3,3.8,H
1061,1.2,7.34,15.64,H
1062,5.69,4.05,1.67,D
1063,3.07,3.75,2.34,H
1064,1.53,4.47,6.58,H
1065,2.9,3.48,2.58,D
1066,5.86,4.03,1.66,H
1067,1.96,3.72,4.09,H
1068,4.34,3.82,1.89,A
1069,4.94,4.01,1.76,A
1070,1.5,4.62,7.46,D
1071,2.01,3.27,4.53,A
1072,2.43,3.4,3.18,A
1073,1.68,4.14,5.41,D
1074,5.5,4.19,1.66,H
1075,4.89,4.02,1.76,D
1076,1.67,4.09,5.7,H
1077,2.44,3.42,3.14,A
1078,7.58,4.55,1.5,A
1079,1.6,3.94,6.98,D
1080,1.93,3.51,4.62,D
1081,2.81,3.48,2.65,H
1082,1.31,5.88,11.27,D
1083,1.35,5.52,10.26,H
1084,3.01,3.56,2.46,H
1085,1.22,7.4,14.5,H
1086,4.65,3.88,1.83,D
1087,2.74,3.33,2.82,D
1088,2.61,3.36,2.93,A
1089,1.68,4.12,5.46,H
1090,1.46,4.58,8.54,D
1091,2.43,3.47,3.13,H
1092,2.61,3.33,2.97,D
1093,2.64,3.27,2.98,A
1094,1.97,3.46,4.46,H
1095,1.36,5.4,9.82,H
1096,2.63,3.33,2.94,D
1097,2.08,3.44,4.03,H
1098,3.01,3.33,2.58,A
1099,6.49,4.66,1.53,A
1100,1.7,3.91,5.68,H
1101,1.27,6.3,13.45,D
1102,6.46,4.79,1.52,D
1103,1.52,4.68,6.82,D
1104,8.36,4.68,1.46,A
1105,1.24,6.82,15.4,D
1106,5.77,4.13,1.65,A
1107,1.96,3.41,4.61,H
1108,1.44,4.74,8.6,H
1109,4.55,3.97,1.83,A
1110,4.51,3.5,1.95,A
1111,3.55,3.45,2.23,H
1112,4.52,3.87,1.85,D
1113,2.93,3.16,2.77,A
1114,2.24,3.5,3.47,D
1115,2.1,3.52,3.85,H
1116,1.27,6.8,11.75,H
1117,2.27,3.35,3.56,H
1118,5.74,4.29,1.63,D
1119,2.9,3.37,2.65,A
1120,5.96,3.98,1.67,D
1121,2.24,3.28,3.71,A
1122,1.22,6.9,18.5,D
1123,1.26,6.35,14.88,H
1124,3.84,3.37,2.17,A
1125,4.27,3.87,1.89,A
1126,2.07,3.53,3.93,H
1127,1.69,3.92,5.77,A
1128,1.95,3.65,4.29,D
1129,2.63,3.73,2.7,H
1130,2.47,3.32,3.19,A
1131,2.31,3.2,3.65,A
1132,2.52,3.35,3.08,A
1133,2.89,3.29,2.7,H
1134,2.23,3.44,3.58,H
1135,3.06,3.51,2.45,D
1136,7.57,4.45,1.51,D
1137,2.36,3.26,3.44,A
1138,2.33,3.38,3.39,H
1139,4.48,3.74,1.88,A
1140,1.22,7.01,13.26,H
1141,5.94,4.55,1.58,A
1142,1.58,4.33,6.3,H
1143,5.72,4.41,1.61,D
1144,1.6,4.35,6.07,H
1145,3.22,3.82,2.23,D
1146,1.91,3.72,4.29,A
1147,21.02,9.55,1.13,A
1148,1.11,10.68,28.68,H
1149,2.15,3.33,3.89,H
1150,2.07,3.45,4.04,D
1151,2.68,3.17,3.01,D
1152,2.05,3.31,4.33,H
1153,1.27,5.71,15.03,H
1154,1.44,4.83,7.62,D
1155,1.59,4.04,6.93,D
1156,2.33,3.38,3.39,D
1157,1.86,3.75,4.61,A
1158,1.2,7.85,15.95,H
1159,1.47,4.5,8.45,A
1160,1.96,3.42,4.58,H
1161,3.08,3.11,2.68,A
1162,1.8,3.57,5.4,H
1163,2.07,3.48,4,H
1164,2.03,3.53,4.1,H
1165,2.95,3.75,2.42,A
1166,5.69,4.24,1.63,A
1167,4.8,3.59,1.88,H
1168,1.34,5.58,9.02,H
1169,5.33,3.97,1.72,A
1170,1.78,3.81,5.09,H
1171,2.34,3.1,3.68,D
1172,2.33,3.41,3.35,A
1173,2.39,3.43,3.24,D
1174,2.42,3.53,3.08,D
1175,2.27,3.29,3.65,D
1176,3.53,3.85,2.1,H
1177,3.94,3.55,2.07,A
1178,4.75,3.93,1.8,A
1179,1.19,7.9,19,H
1180,5.72,4.14,1.66,D
1181,1.39,5.4,8.32,H
1182,1.25,6.45,14.75,H
1183,1.26,6.45,14,H
1184,1.27,6.45,12.78,A
1185,1.89,3.63,4.58,H
1186,1.14,9.66,23.8,H
1187,1.78,3.63,5.49,A
1188,2.26,3.26,3.68,H
1189,1.27,6.65,12.35,H
1190,1.73,3.97,5.25,H
1191,3.51,3.5,2.23,A
1192,1.45,4.83,8.14,H
1193,3.16,3.35,2.46,A
1194,1.56,4.41,6.57,H
1195,1.81,3.97,4.65,D
